Index: 8, SMA1: 403, SMA2: 383.77777777778, At: 422.22
Index: 9, SMA1: 389.33333333333, SMA2: 365.11111111111, At: 413.56
Index: 10, SMA1: 359, SMA2: 347.11111111111, At: 370.89
Index: 11, SMA1: 347, SMA2: 337, At: 357
Index: 12, SMA1: 335.33333333333, SMA2: 328.55555555556, At: 342.11
Index: 13, SMA1: 328.66666666667, SMA2: 321.77777777778, At: 335.56
Index: 14, SMA1: 321.66666666667, SMA2: 316.77777777778, At: 326.56
Index: 15, SMA1: 315, SMA2: 314.33333333333, At: 315.67
Index: 16, SMA1: 313.66666666667, SMA2: 317, At: 310.33
Index: 17, SMA1: 314.33333333333, SMA2: 319.22222222222, At: 309.44
Index: 18, SMA1: 323, SMA2: 324.77777777778, At: 321.22
Index: 0, SMA1: 382.66666666667, SMA2: 382.77777777778, At: 382.56
Index: 1, SMA1: 384, SMA2: 379.44444444444, At: 388.56
Index: 2, SMA1: 381.66666666667, SMA2: 370.77777777778, At: 392.56
Index: 3, SMA1: 372.66666666667, SMA2: 362.77777777778, At: 382.56
Index: 4, SMA1: 358, SMA2: 365.88888888889, At: 350.11
Index: 5, SMA1: 357.66666666667, SMA2: 379.33333333333, At: 336
Index: 6, SMA1: 382, SMA2: 394.44444444444, At: 369.56
Index: 7, SMA1: 398.33333333333, SMA2: 396.88888888889, At: 399.78
Index: 8, SMA1: 403, SMA2: 383.77777777778, At: 422.22
Index: 9, SMA1: 389.33333333333, SMA2: 365.11111111111, At: 413.56
Index: 10, SMA1: 359, SMA2: 347.11111111111, At: 370.89
Index: 11, SMA1: 347, SMA2: 337, At: 357
Index: 12, SMA1: 335.33333333333, SMA2: 328.55555555556, At: 342.11
Index: 13, SMA1: 328.66666666667, SMA2: 321.77777777778, At: 335.56
Index: 14, SMA1: 321.66666666667, SMA2: 316.77777777778, At: 326.56
Index: 15, SMA1: 315, SMA2: 314.33333333333, At: 315.67
Index: 16, SMA1: 313.66666666667, SMA2: 317, At: 310.33
Index: 17, SMA1: 314.33333333333, SMA2: 319.22222222222, At: 309.44
Index: 18, SMA1: 323, SMA2: 324.77777777778, At: 321.22
Index: 0, SMA1: 382.66666666667, SMA2: 382.77777777778, At: 382.56
Index: 1, SMA1: 384, SMA2: 379.44444444444, At: 388.56
Index: 2, SMA1: 381.66666666667, SMA2: 370.77777777778, At: 392.56
Index: 3, SMA1: 372.66666666667, SMA2: 362.77777777778, At: 382.56
Index: 4, SMA1: 358, SMA2: 365.88888888889, At: 350.11
Index: 5, SMA1: 357.66666666667, SMA2: 379.33333333333, At: 336
Index: 6, SMA1: 382, SMA2: 394.44444444444, At: 369.56
Index: 7, SMA1: 398.33333333333, SMA2: 396.88888888889, At: 399.78
Index: 8, SMA1: 403, SMA2: 383.77777777778, At: 422.22
Index: 9, SMA1: 389.33333333333, SMA2: 365.11111111111, At: 413.56
Index: 10, SMA1: 359, SMA2: 347.11111111111, At: 370.89
Index: 11, SMA1: 347, SMA2: 337, At: 357
Index: 12, SMA1: 335.33333333333, SMA2: 328.55555555556, At: 342.11
Index: 13, SMA1: 328.66666666667, SMA2: 321.77777777778, At: 335.56
Index: 14, SMA1: 321.66666666667, SMA2: 316.77777777778, At: 326.56
Index: 15, SMA1: 315, SMA2: 314.33333333333, At: 315.67
Index: 16, SMA1: 313.66666666667, SMA2: 317, At: 310.33
Index: 17, SMA1: 314.33333333333, SMA2: 319.22222222222, At: 309.44
Index: 18, SMA1: 323, SMA2: 324.77777777778, At: 321.22
Index: 0, SMA1: 382.66666666667, SMA2: 382.77777777778, At: 382.56
Index: 1, SMA1: 384, SMA2: 379.44444444444, At: 388.56
Index: 2, SMA1: 381.66666666667, SMA2: 370.77777777778, At: 392.56
Index: 3, SMA1: 372.66666666667, SMA2: 362.77777777778, At: 382.56
Index: 4, SMA1: 358, SMA2: 365.88888888889, At: 350.11
Index: 5, SMA1: 357.66666666667, SMA2: 379.33333333333, At: 336
Index: 6, SMA1: 382, SMA2: 394.44444444444, At: 369.56
Index: 7, SMA1: 398.33333333333, SMA2: 396.88888888889, At: 399.78
Index: 8, SMA1: 403, SMA2: 383.77777777778, At: 422.22
Index: 9, SMA1: 389.33333333333, SMA2: 365.11111111111, At: 413.56
Index: 10, SMA1: 359, SMA2: 347.11111111111, At: 370.89
Index: 11, SMA1: 347, SMA2: 337, At: 357
Index: 12, SMA1: 335.33333333333, SMA2: 328.55555555556, At: 342.11
Index: 13, SMA1: 328.66666666667, SMA2: 321.77777777778, At: 335.56
Index: 14, SMA1: 321.66666666667, SMA2: 316.77777777778, At: 326.56
Index: 15, SMA1: 315, SMA2: 314.33333333333, At: 315.67
Index: 16, SMA1: 313.66666666667, SMA2: 317, At: 310.33
Index: 17, SMA1: 314.33333333333, SMA2: 319.22222222222, At: 309.44
Index: 18, SMA1: 323, SMA2: 324.77777777778, At: 321.22
Index: 0, SMA1: 382.66666666667, SMA2: 382.77777777778, At: 382.56
Index: 1, SMA1: 384, SMA2: 379.44444444444, At: 388.56
Index: 2, SMA1: 381.66666666667, SMA2: 370.77777777778, At: 392.56
Index: 3, SMA1: 372.66666666667, SMA2: 362.77777777778, At: 382.56
Index: 4, SMA1: 358, SMA2: 365.88888888889, At: 350.11
Index: 5, SMA1: 357.66666666667, SMA2: 379.33333333333, At: 336
Index: 6, SMA1: 382, SMA2: 394.44444444444, At: 369.56
Index: 7, SMA1: 398.33333333333, SMA2: 396.88888888889, At: 399.78
Index: 8, SMA1: 403, SMA2: 383.77777777778, At: 422.22
Index: 9, SMA1: 389.33333333333, SMA2: 365.11111111111, At: 413.56
Index: 10, SMA1: 359, SMA2: 347.11111111111, At: 370.89
Index: 11, SMA1: 347, SMA2: 337, At: 357
Index: 12, SMA1: 335.33333333333, SMA2: 328.55555555556, At: 342.11
Index: 13, SMA1: 328.66666666667, SMA2: 321.77777777778, At: 335.56
Index: 14, SMA1: 321.66666666667, SMA2: 316.77777777778, At: 326.56
Index: 15, SMA1: 315, SMA2: 314.33333333333, At: 315.67
Index: 16, SMA1: 313.66666666667, SMA2: 317, At: 310.33
Index: 17, SMA1: 314.33333333333, SMA2: 319.22222222222, At: 309.44
Index: 18, SMA1: 323, SMA2: 324.77777777778, At: 321.22
Index: 0, SMA1: 382.66666666667, SMA2: 382.77777777778, At: 382.56
Index: 1, SMA1: 384, SMA2: 379.44444444444, At: 388.56
Index: 2, SMA1: 381.66666666667, SMA2: 370.77777777778, At: 392.56
Index: 3, SMA1: 372.66666666667, SMA2: 362.77777777778, At: 382.56
Index: 4, SMA1: 358, SMA2: 365.88888888889, At: 350.11
Index: 5, SMA1: 357.66666666667, SMA2: 379.33333333333, At: 336
Index: 6, SMA1: 382, SMA2: 394.44444444444, At: 369.56
Index: 7, SMA1: 398.33333333333, SMA2: 396.88888888889, At: 399.78
Index: 8, SMA1: 403, SMA2: 383.77777777778, At: 422.22
Index: 9, SMA1: 389.33333333333, SMA2: 365.11111111111, At: 413.56
Index: 10, SMA1: 359, SMA2: 347.11111111111, At: 370.89
Index: 11, SMA1: 347, SMA2: 337, At: 357
Index: 12, SMA1: 335.33333333333, SMA2: 328.55555555556, At: 342.11
Index: 13, SMA1: 328.66666666667, SMA2: 321.77777777778, At: 335.56
Index: 14, SMA1: 321.66666666667, SMA2: 316.77777777778, At: 326.56
Index: 15, SMA1: 315, SMA2: 314.33333333333, At: 315.67
Index: 16, SMA1: 313.66666666667, SMA2: 317, At: 310.33
Index: 17, SMA1: 314.33333333333, SMA2: 319.22222222222, At: 309.44
Index: 18, SMA1: 323, SMA2: 324.77777777778, At: 321.22
Index: 19, SMA1: 320.33333333333, SMA2: 326.33333333333, At: 314.33
Index: 0, SMA1: 382.66666666667, SMA2: 382.77777777778, At: 382.56
Index: 1, SMA1: 384, SMA2: 379.44444444444, At: 388.56
Index: 2, SMA1: 381.66666666667, SMA2: 370.77777777778, At: 392.56
Index: 3, SMA1: 372.66666666667, SMA2: 362.77777777778, At: 382.56
Index: 4, SMA1: 358, SMA2: 365.88888888889, At: 350.11
Index: 5, SMA1: 357.66666666667, SMA2: 379.33333333333, At: 336
Index: 6, SMA1: 382, SMA2: 394.44444444444, At: 369.56
Index: 7, SMA1: 398.33333333333, SMA2: 396.88888888889, At: 399.78
Index: 8, SMA1: 403, SMA2: 383.77777777778, At: 422.22
Index: 9, SMA1: 389.33333333333, SMA2: 365.11111111111, At: 413.56
Index: 10, SMA1: 359, SMA2: 347.11111111111, At: 370.89
Index: 11, SMA1: 347, SMA2: 337, At: 357
Index: 12, SMA1: 335.33333333333, SMA2: 328.55555555556, At: 342.11
Index: 13, SMA1: 328.66666666667, SMA2: 321.77777777778, At: 335.56
Index: 14, SMA1: 321.66666666667, SMA2: 316.77777777778, At: 326.56
Index: 15, SMA1: 315, SMA2: 314.33333333333, At: 315.67
Index: 16, SMA1: 313.66666666667, SMA2: 317, At: 310.33
Index: 17, SMA1: 314.33333333333, SMA2: 319.22222222222, At: 309.44
Index: 18, SMA1: 323, SMA2: 324.77777777778, At: 321.22
Index: 19, SMA1: 320.33333333333, SMA2: 326.33333333333, At: 314.33
Index: 0, SMA1: 382.66666666667, SMA2: 382.77777777778, At: 382.56
Index: 1, SMA1: 384, SMA2: 379.44444444444, At: 388.56
Index: 2, SMA1: 381.66666666667, SMA2: 370.77777777778, At: 392.56
Index: 3, SMA1: 372.66666666667, SMA2: 362.77777777778, At: 382.56
Index: 4, SMA1: 358, SMA2: 365.88888888889, At: 350.11
Index: 5, SMA1: 357.66666666667, SMA2: 379.33333333333, At: 336
Index: 6, SMA1: 382, SMA2: 394.44444444444, At: 369.56
Index: 7, SMA1: 398.33333333333, SMA2: 396.88888888889, At: 399.78
Index: 8, SMA1: 403, SMA2: 383.77777777778, At: 422.22
Index: 9, SMA1: 389.33333333333, SMA2: 365.11111111111, At: 413.56
Index: 10, SMA1: 359, SMA2: 347.11111111111, At: 370.89
Index: 11, SMA1: 347, SMA2: 337, At: 357
Index: 12, SMA1: 335.33333333333, SMA2: 328.55555555556, At: 342.11
Index: 13, SMA1: 328.66666666667, SMA2: 321.77777777778, At: 335.56
Index: 14, SMA1: 321.66666666667, SMA2: 316.77777777778, At: 326.56
Index: 15, SMA1: 315, SMA2: 314.33333333333, At: 315.67
Index: 16, SMA1: 313.66666666667, SMA2: 317, At: 310.33
Index: 17, SMA1: 314.33333333333, SMA2: 319.22222222222, At: 309.44
Index: 18, SMA1: 323, SMA2: 324.77777777778, At: 321.22
Index: 19, SMA1: 320.33333333333, SMA2: 326.33333333333, At: 314.33
Index: 0, SMA1: 382.66666666667, SMA2: 382.77777777778, At: 382.56
Index: 1, SMA1: 384, SMA2: 379.44444444444, At: 388.56
Index: 2, SMA1: 381.66666666667, SMA2: 370.77777777778, At: 392.56
Index: 3, SMA1: 372.66666666667, SMA2: 362.77777777778, At: 382.56
Index: 4, SMA1: 358, SMA2: 365.88888888889, At: 350.11
Index: 5, SMA1: 357.66666666667, SMA2: 379.33333333333, At: 336
Index: 6, SMA1: 382, SMA2: 394.44444444444, At: 369.56
Index: 7, SMA1: 398.33333333333, SMA2: 396.88888888889, At: 399.78
Index: 8, SMA1: 403, SMA2: 383.77777777778, At: 422.22
Index: 9, SMA1: 389.33333333333, SMA2: 365.11111111111, At: 413.56
Index: 10, SMA1: 359, SMA2: 347.11111111111, At: 370.89
Index: 11, SMA1: 347, SMA2: 337, At: 357
Index: 12, SMA1: 335.33333333333, SMA2: 328.55555555556, At: 342.11
Index: 13, SMA1: 328.66666666667, SMA2: 321.77777777778, At: 335.56
Index: 14, SMA1: 321.66666666667, SMA2: 316.77777777778, At: 326.56
Index: 15, SMA1: 315, SMA2: 314.33333333333, At: 315.67
Index: 16, SMA1: 313.66666666667, SMA2: 317, At: 310.33
Index: 17, SMA1: 314.33333333333, SMA2: 319.22222222222, At: 309.44
Index: 18, SMA1: 323, SMA2: 324.77777777778, At: 321.22
Index: 19, SMA1: 320.33333333333, SMA2: 326.33333333333, At: 314.33
Index: 0, SMA1: 382.66666666667, SMA2: 382.77777777778, At: 382.56
Index: 1, SMA1: 384, SMA2: 379.44444444444, At: 388.56
Index: 2, SMA1: 381.66666666667, SMA2: 370.77777777778, At: 392.56
Index: 3, SMA1: 372.66666666667, SMA2: 362.77777777778, At: 382.56
Index: 4, SMA1: 358, SMA2: 365.88888888889, At: 350.11
Index: 5, SMA1: 357.66666666667, SMA2: 379.33333333333, At: 336
Index: 6, SMA1: 382, SMA2: 394.44444444444, At: 369.56
Index: 7, SMA1: 398.33333333333, SMA2: 396.88888888889, At: 399.78
Index: 8, SMA1: 403, SMA2: 383.77777777778, At: 422.22
Index: 9, SMA1: 389.33333333333, SMA2: 365.11111111111, At: 413.56
Index: 10, SMA1: 359, SMA2: 347.11111111111, At: 370.89
Index: 11, SMA1: 347, SMA2: 337, At: 357
Index: 12, SMA1: 335.33333333333, SMA2: 328.55555555556, At: 342.11
Index: 13, SMA1: 328.66666666667, SMA2: 321.77777777778, At: 335.56
Index: 14, SMA1: 321.66666666667, SMA2: 316.77777777778, At: 326.56
Index: 15, SMA1: 315, SMA2: 314.33333333333, At: 315.67
Index: 16, SMA1: 313.66666666667, SMA2: 317, At: 310.33
Index: 17, SMA1: 314.33333333333, SMA2: 319.22222222222, At: 309.44
Index: 18, SMA1: 323, SMA2: 324.77777777778, At: 321.22
Index: 19, SMA1: 320.33333333333, SMA2: 326.33333333333, At: 314.33
Index: 0, SMA1: 382.66666666667, SMA2: 382.77777777778, At: 382.56
Index: 1, SMA1: 384, SMA2: 379.44444444444, At: 388.56
Index: 2, SMA1: 381.66666666667, SMA2: 370.77777777778, At: 392.56
Index: 3, SMA1: 372.66666666667, SMA2: 362.77777777778, At: 382.56
Index: 4, SMA1: 358, SMA2: 365.88888888889, At: 350.11
Index: 5, SMA1: 357.66666666667, SMA2: 379.33333333333, At: 336
Index: 6, SMA1: 382, SMA2: 394.44444444444, At: 369.56
Index: 7, SMA1: 398.33333333333, SMA2: 396.88888888889, At: 399.78
Index: 8, SMA1: 403, SMA2: 383.77777777778, At: 422.22
Index: 9, SMA1: 389.33333333333, SMA2: 365.11111111111, At: 413.56
Index: 10, SMA1: 359, SMA2: 347.11111111111, At: 370.89
Index: 11, SMA1: 347, SMA2: 337, At: 357
Index: 12, SMA1: 335.33333333333, SMA2: 328.55555555556, At: 342.11
Index: 13, SMA1: 328.66666666667, SMA2: 321.77777777778, At: 335.56
Index: 14, SMA1: 321.66666666667, SMA2: 316.77777777778, At: 326.56
Index: 15, SMA1: 315, SMA2: 314.33333333333, At: 315.67
Index: 16, SMA1: 313.66666666667, SMA2: 317, At: 310.33
Index: 17, SMA1: 314.33333333333, SMA2: 319.22222222222, At: 309.44
Index: 18, SMA1: 323, SMA2: 324.77777777778, At: 321.22
Index: 19, SMA1: 320.33333333333, SMA2: 326.33333333333, At: 314.33
Index: 0, SMA1: 382.66666666667, SMA2: 382.77777777778, At: 382.56
Index: 1, SMA1: 384, SMA2: 379.44444444444, At: 388.56
Index: 2, SMA1: 381.66666666667, SMA2: 370.77777777778, At: 392.56
Index: 3, SMA1: 372.66666666667, SMA2: 362.77777777778, At: 382.56
Index: 4, SMA1: 358, SMA2: 365.88888888889, At: 350.11
Index: 5, SMA1: 357.66666666667, SMA2: 379.33333333333, At: 336
Index: 6, SMA1: 382, SMA2: 394.44444444444, At: 369.56
Index: 7, SMA1: 398.33333333333, SMA2: 396.88888888889, At: 399.78
Index: 8, SMA1: 403, SMA2: 383.77777777778, At: 422.22
Index: 9, SMA1: 389.33333333333, SMA2: 365.11111111111, At: 413.56
Index: 10, SMA1: 359, SMA2: 347.11111111111, At: 370.89
Index: 11, SMA1: 347, SMA2: 337, At: 357
Index: 12, SMA1: 335.33333333333, SMA2: 328.55555555556, At: 342.11
Index: 13, SMA1: 328.66666666667, SMA2: 321.77777777778, At: 335.56
Index: 14, SMA1: 321.66666666667, SMA2: 316.77777777778, At: 326.56
Index: 15, SMA1: 315, SMA2: 314.33333333333, At: 315.67
Index: 16, SMA1: 313.66666666667, SMA2: 317, At: 310.33
Index: 17, SMA1: 314.33333333333, SMA2: 319.22222222222, At: 309.44
Index: 18, SMA1: 323, SMA2: 324.77777777778, At: 321.22
Index: 19, SMA1: 320.33333333333, SMA2: 326.33333333333, At: 314.33
Index: 0, SMA1: 382.66666666667, SMA2: 382.77777777778, At: 382.56
Index: 1, SMA1: 384, SMA2: 379.44444444444, At: 388.56
Index: 2, SMA1: 381.66666666667, SMA2: 370.77777777778, At: 392.56
Index: 3, SMA1: 372.66666666667, SMA2: 362.77777777778, At: 382.56
Index: 4, SMA1: 358, SMA2: 365.88888888889, At: 350.11
Index: 5, SMA1: 357.66666666667, SMA2: 379.33333333333, At: 336
Index: 6, SMA1: 382, SMA2: 394.44444444444, At: 369.56
Index: 7, SMA1: 398.33333333333, SMA2: 396.88888888889, At: 399.78
Index: 8, SMA1: 403, SMA2: 383.77777777778, At: 422.22
Index: 9, SMA1: 389.33333333333, SMA2: 365.11111111111, At: 413.56
Index: 10, SMA1: 359, SMA2: 347.11111111111, At: 370.89
Index: 11, SMA1: 347, SMA2: 337, At: 357
Index: 12, SMA1: 335.33333333333, SMA2: 328.55555555556, At: 342.11
Index: 13, SMA1: 328.66666666667, SMA2: 321.77777777778, At: 335.56
Index: 14, SMA1: 321.66666666667, SMA2: 316.77777777778, At: 326.56
Index: 15, SMA1: 315, SMA2: 314.33333333333, At: 315.67
Index: 16, SMA1: 313.66666666667, SMA2: 317, At: 310.33
Index: 17, SMA1: 314.33333333333, SMA2: 319.22222222222, At: 309.44
Index: 18, SMA1: 323, SMA2: 324.77777777778, At: 321.22
Index: 19, SMA1: 320.33333333333, SMA2: 326.33333333333, At: 314.33
